timestamp_s,Fp1,Fp2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
17.032000,50950.554688,-4543.953125,-8650.997070,-2624.541748,-3790.140625,17442.048828,33206.488281,3486.112061,-40282.222656,-66874.140625,-42878.984375,-68269.960938,-81965.437500,-66954.671875,-46026.644531,-62077.074219
17.040000,50956.480469,-4544.914551,-8649.186523,-2615.534180,-3784.597412,17459.439453,33215.742188,3572.389893,-40273.039062,-66852.882812,-42842.996094,-68258.382812,-81959.648438,-66934.375000,-45987.664062,-61980.851562
17.048000,50950.691406,-4548.423340,-8653.298828,-2617.210449,-3788.464111,17443.234375,33203.269531,3483.139404,-40263.984375,-66854.562500,-42863.492188,-68248.750000,-81945.609375,-66930.421875,-46001.121094,-62040.531250
17.056000,50956.792969,-4546.166016,-8649.476562,-2618.551514,-3785.357422,17458.634766,33211.964844,3574.043945,-40254.730469,-66844.367188,-42831.976562,-68248.773438,-81942.257812,-66925.171875,-45973.785156,-61979.644531
17.064000,50944.164062,-4553.698730,-8661.904297,-2627.939209,-3794.946289,17428.257812,33188.808594,3462.508789,-40253.144531,-66850.781250,-42854.238281,-68249.507812,-81940.687500,-66932.921875,-45997.343750,-62032.550781
17.072000,50949.863281,-4556.827637,-8661.054688,-2628.006348,-3789.850098,17450.185547,33204.386719,3572.702881,-40250.484375,-66847.812500,-42833.562500,-68256.351562,-81945.742188,-66935.742188,-45983.910156,-61998.687500
17.080000,50936.652344,-4566.975586,-8672.164062,-2629.548584,-3792.934570,17422.425781,33184.203125,3452.383301,-40251.042969,-66857.375000,-42854.687500,-68247.320312,-81942.812500,-66942.937500,-45992.847656,-62024.101562
17.088000,50941.593750,-4566.104004,-8674.779297,-2625.815918,-3796.354492,17442.138672,33194.507812,3563.695068,-40259.738281,-66858.875000,-42850.820312,-68256.546875,-81956.742188,-66946.382812,-45989.496094,-62023.140625
17.096000,50931.957031,-4569.881348,-8682.467773,-2627.112305,-3800.064697,17413.796875,33170.234375,3443.286133,-40262.578125,-66863.656250,-42868.902344,-68257.218750,-81960.468750,-66953.867188,-46009.726562,-62024.300781
17.104000,50938.441406,-4569.612793,-8676.075195,-2621.233887,-3788.464111,17447.615234,33194.195312,3563.114014,-40258.578125,-66858.851562,-42861.390625,-68261.468750,-81957.585938,-66955.140625,-45996.984375,-62045.246094
17.112000,50922.304688,-4575.670410,-8686.468750,-2627.447510,-3795.549805,17411.785156,33169.808594,3453.076416,-40265.750000,-66866.671875,-42875.472656,-68269.984375,-81966.906250,-66961.867188,-46000.382812,-62011.761719
