/workspace/s59/w_native_ptd.py:364: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
{"step": 1, "ce_full": 5.640987, "psi_dir": 0.504966, "psi_entropy": 0.93908, "tension": 0.262593, "phi": 0.035845, "curiosity_ema": 0.0, "w_native_err": null, "wall_s": 0.63, "gpu_mem_gb": 7.486}
{"step": 348, "ce_full": 0.083945, "psi_dir": 0.578275, "psi_entropy": 0.208728, "tension": 0.905742, "phi": 0.223878, "curiosity_ema": 0.00192629, "w_native_err": 0.00188125, "wall_s": 33.76, "gpu_mem_gb": 9.738}
{"step": 352, "ce_full": 0.098685, "psi_dir": 0.57762, "psi_entropy": 0.240621, "tension": 0.938788, "phi": 0.236752, "curiosity_ema": 0.0019134, "w_native_err": 0.00179741, "wall_s": 34.13, "gpu_mem_gb": 9.738}
{"step": 356, "ce_full": 0.090403, "psi_dir": 0.573466, "psi_entropy": 0.254128, "tension": 0.954049, "phi": 0.228338, "curiosity_ema": 0.00180961, "w_native_err": 0.00087549, "wall_s": 34.51, "gpu_mem_gb": 9.738}
{"step": 360, "ce_full": 0.072628, "psi_dir": 0.580687, "psi_entropy": 0.276653, "tension": 0.965031, "phi": 0.218373, "curiosity_ema": 0.00169297, "w_native_err": 0.00064325, "wall_s": 34.89, "gpu_mem_gb": 9.738}
{"step": 364, "ce_full": 0.048233, "psi_dir": 0.574566, "psi_entropy": 0.256877, "tension": 0.957097, "phi": 0.220245, "curiosity_ema": 0.00155092, "w_native_err": 0.00027245, "wall_s": 35.27, "gpu_mem_gb": 9.738}
{"step": 368, "ce_full": 0.054471, "psi_dir": 0.55477, "psi_entropy": 0.204416, "tension": 0.961271, "phi": 0.243529, "curiosity_ema": 0.00149884, "w_native_err": 0.00103013, "wall_s": 35.65, "gpu_mem_gb": 9.738}
{"step": 372, "ce_full": 0.054072, "psi_dir": 0.564863, "psi_entropy": 0.243838, "tension": 0.990789, "phi": 0.259702, "curiosity_ema": 0.00146434, "w_native_err": 0.00115381, "wall_s": 36.05, "gpu_mem_gb": 9.738}
{"step": 376, "ce_full": 0.047409, "psi_dir": 0.574804, "psi_entropy": 0.237878, "tension": 1.000732, "phi": 0.258846, "curiosity_ema": 0.00136108, "w_native_err": 0.00043175, "wall_s": 36.45, "gpu_mem_gb": 9.738}
{"step": 380, "ce_full": 0.060998, "psi_dir": 0.587684, "psi_entropy": 0.224372, "tension": 1.01049, "phi": 0.286994, "curiosity_ema": 0.00132461, "w_native_err": 0.00099637, "wall_s": 36.83, "gpu_mem_gb": 9.738}
{"step": 384, "ce_full": 0.060116, "psi_dir": 0.592171, "psi_entropy": 0.21582, "tension": 1.021878, "phi": 0.277007, "curiosity_ema": 0.00124915, "w_native_err": 0.00057001, "wall_s": 37.2, "gpu_mem_gb": 9.738}
