timestamp, utilization.gpu [%], memory.used [MiB]
2026/05/28 08:24:54.593, 0 %, 0 MiB
2026/05/28 08:24:59.594, 0 %, 0 MiB
2026/05/28 08:25:04.595, 0 %, 0 MiB
2026/05/28 08:22:17.564, 0 %, 597 MiB
2026/05/28 08:22:22.564, 0 %, 597 MiB
2026/05/28 08:22:27.565, 0 %, 597 MiB
2026/05/28 08:22:32.566, 3 %, 675 MiB
2026/05/28 08:22:37.567, 0 %, 597 MiB
2026/05/28 08:22:42.568, 0 %, 597 MiB
2026/05/28 08:22:47.568, 0 %, 597 MiB
2026/05/28 08:22:52.569, 0 %, 597 MiB
2026/05/28 08:22:57.570, 0 %, 597 MiB
2026/05/28 08:23:02.571, 0 %, 597 MiB
2026/05/28 08:23:07.572, 0 %, 597 MiB
2026/05/28 08:23:12.573, 0 %, 597 MiB
2026/05/28 08:23:17.573, 0 %, 597 MiB
2026/05/28 08:23:22.574, 0 %, 597 MiB
2026/05/28 08:23:27.575, 2 %, 597 MiB
2026/05/28 08:23:32.576, 0 %, 597 MiB
2026/05/28 08:23:37.577, 2 %, 597 MiB
2026/05/28 08:23:42.577, 0 %, 597 MiB
2026/05/28 08:23:47.578, 0 %, 0 MiB
2026/05/28 08:23:52.579, 0 %, 0 MiB
2026/05/28 08:23:57.580, 0 %, 0 MiB
2026/05/28 08:24:02.581, 0 %, 0 MiB
2026/05/28 08:24:07.581, 0 %, 0 MiB
2026/05/28 08:24:12.582, 0 %, 0 MiB
2026/05/28 08:24:17.583, 0 %, 0 MiB
2026/05/28 08:24:22.584, 0 %, 0 MiB
2026/05/28 08:24:27.585, 0 %, 0 MiB
2026/05/28 08:24:32.586, 0 %, 0 MiB
2026/05/28 08:24:37.586, 0 %, 0 MiB
2026/05/28 08:24:42.587, 0 %, 0 MiB
2026/05/28 08:24:47.588, 0 %, 0 MiB
2026/05/28 08:24:52.589, 0 %, 0 MiB
2026/05/28 08:24:57.590, 0 %, 0 MiB
2026/05/28 08:25:02.590, 0 %, 0 MiB
