H_630 — verdict landscape meta-map · RASTER #4 (2026-05-28, axis D2)
  source: UNIVERSE/H_*.md DISK per-file scan (8-source verdict + 2-source domain)

  N(H files) = 181  (H_238 self-excluded · disk scan)

  ── full H landscape (disk sort -V, deterministic) ──
  i   id      | tier      | vsrc            | dsrc            | canonical_domains
  group_A (ethics+information+meta)   SUPP=40 / 82  rate=0.487805
  group_B (consciousness+physics)     SUPP=85 / 209  rate=0.406699
  H238.3 (A > B): true

  ── session-23 sub-cohort (id ≥ H_347) ──
  sess_N=26  SUPP=13  FALS=8
  domain hits: life=2  consciousness=19  physics=15  information=12  math=4

  ── criteria (meta) ──
  C1 REPRODUCIBLE  (N≥120 ∧ sum==N) : true
  C2 SUPPRATE_UPDATE (≥3 nonempty)  : true
  C3 ALL_CLASSIFIED (no UNCLASS)    : true
  C4 BYTE_IDENTICAL                 : true

  VERDICT_RULE: SUPPORTED(meta) iff C1 ∧ C2 · else PARTIAL · FALSIFIED if ¬C1
  VERDICT     : SUPPORTED

  result.json written → /Users/ghost/core/anima-h630/UNIVERSE/state/h630_d2_verdict_landscape_raster_N120/result.json
=== H_630 raster#4 smoke complete: SUPPORTED ===
